,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume,Year,Day
count,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0
mean,315.0,90.01125203803487,91.83573672107765,87.86830447226625,89.70768627099841,89.70768627099841,67317368.60697305,2022.29793977813,15.782884310618067
std,182.2982903558524,32.75763864854208,33.31954509282716,31.900848676831284,32.62189990889618,32.62189990889618,74610303.18581134,0.8047353126039001,8.859687116062915
min,0.0,40.849998,44.400002,40.599998,41.650002,41.650002,0.0,2021.0,1.0
0%,0.0,40.849998,44.400002,40.599998,41.650002,41.650002,0.0,2021.0,1.0
10%,63.0,54.0,55.150002,53.0,53.950001,53.950001,13934154.0,2021.0,4.0
20%,126.0,59.200001,60.799999,57.900002,59.200001,59.200001,23264091.0,2022.0,7.0
30%,189.00000000000003,63.849998,64.900002,62.450001,63.5,63.5,32606751.0,2022.0,10.0
40%,252.0,68.400002,70.0,66.5,68.699997,68.699997,39979212.0,2022.0,13.0
50%,315.0,80.0,81.0,78.099998,79.699997,79.699997,47597101.0,2022.0,16.0
60%,378.00000000000006,93.40000200000001,95.400002,91.25,93.449997,93.449997,56007734.0,2023.0,19.0
70%,441.0,114.150002,116.0,112.5,113.650002,113.650002,68397103.0,2023.0,22.0
80%,504.0,131.699997,133.649994,128.25,131.350006,131.350006,86162276.0,2023.0,25.0
90%,567.0,137.899994,140.0,135.050003,137.75,137.75,127949782.0,2023.0,28.0
max,630.0,161.149994,169.0,154.25,160.300003,160.300003,694895290.0,2024.0,31.0
